Time,Bits/s
2000-01-01 00:03:29,1468
2000-01-01 00:03:30,1478
2000-01-01 00:03:31,1474
2000-01-01 00:03:32,1404
2000-01-01 00:03:33,1308
2000-01-01 00:03:34,1276
2000-01-01 00:03:35,1323
2000-01-01 00:03:36,1324
2000-01-01 00:03:37,1312
2000-01-01 00:03:38,1331
2000-01-01 00:03:39,1373
2000-01-01 00:03:40,1343
2000-01-01 00:03:41,1262
2000-01-01 00:03:42,1204
2000-01-01 00:03:43,1153
2000-01-01 00:03:44,1117
2000-01-01 00:03:45,1038
2000-01-01 00:03:46,924
2000-01-01 00:03:47,916
2000-01-01 00:03:48,925
2000-01-01 00:03:49,907
2000-01-01 00:03:50,863
2000-01-01 00:03:51,826
2000-01-01 00:03:52,745
2000-01-01 00:03:53,667
2000-01-01 00:03:54,633
2000-01-01 00:03:55,608
2000-01-01 00:03:56,521
2000-01-01 00:03:57,470
2000-01-01 00:03:58,411
2000-01-01 00:03:59,361
2000-01-01 00:04:00,302
2000-01-01 00:04:01,261
2000-01-01 00:04:02,247
2000-01-01 00:04:03,247
2000-01-01 00:04:04,250
2000-01-01 00:04:05,300
2000-01-01 00:04:06,317
2000-01-01 00:04:07,341
2000-01-01 00:04:08,370
2000-01-01 00:04:09,361
2000-01-01 00:04:10,352
2000-01-01 00:04:11,401
2000-01-01 00:04:12,315
2000-01-01 00:04:13,288
2000-01-01 00:04:14,378
2000-01-01 00:04:15,380
2000-01-01 00:04:16,305
2000-01-01 00:04:17,310
2000-01-01 00:04:18,207
2000-01-01 00:04:19,134
2000-01-01 00:04:20,111
2000-01-01 00:04:21,106
2000-01-01 00:04:22,103
2000-01-01 00:04:23,93
2000-01-01 00:04:24,82
2000-01-01 00:04:25,79
2000-01-01 00:04:26,75
2000-01-01 00:04:27,69
2000-01-01 00:04:28,69
2000-01-01 00:04:29,68
2000-01-01 00:04:30,67
2000-01-01 00:04:31,74
2000-01-01 00:04:32,76
2000-01-01 00:04:33,60
2000-01-01 00:04:34,55
2000-01-01 00:04:35,47
2000-01-01 00:04:36,51
2000-01-01 00:04:37,58
2000-01-01 00:04:38,57
2000-01-01 00:04:39,57
2000-01-01 00:04:40,70
2000-01-01 00:04:41,63
2000-01-01 00:04:42,53
2000-01-01 00:04:43,43
2000-01-01 00:04:44,49
2000-01-01 00:04:45,61
2000-01-01 00:04:46,74
2000-01-01 00:04:47,86
2000-01-01 00:04:48,108
2000-01-01 00:04:49,150
2000-01-01 00:04:50,228
2000-01-01 00:04:51,338
2000-01-01 00:04:52,490
2000-01-01 00:04:53,639
2000-01-01 00:04:54,804
2000-01-01 00:04:55,936
2000-01-01 00:04:56,1038
2000-01-01 00:04:57,1152
2000-01-01 00:04:58,1195
2000-01-01 00:04:59,1334
2000-01-01 00:05:00,1453
2000-01-01 00:05:01,1457
2000-01-01 00:05:02,1450
2000-01-01 00:05:03,1547
2000-01-01 00:05:04,1660
2000-01-01 00:05:05,1680
2000-01-01 00:05:06,1668
2000-01-01 00:05:07,1665
2000-01-01 00:05:08,1674
2000-01-01 00:05:09,1672
2000-01-01 00:05:10,1673
2000-01-01 00:05:11,1679
2000-01-01 00:05:12,1675
2000-01-01 00:05:13,1654
2000-01-01 00:05:14,1657
2000-01-01 00:05:15,1677
2000-01-01 00:05:16,1715
2000-01-01 00:05:17,1746
2000-01-01 00:05:18,1788
2000-01-01 00:05:19,1830
2000-01-01 00:05:20,1850
2000-01-01 00:05:21,1852
2000-01-01 00:05:22,1864
2000-01-01 00:05:23,1876
2000-01-01 00:05:24,1900
2000-01-01 00:05:25,1941
2000-01-01 00:05:26,1964
2000-01-01 00:05:27,1961
2000-01-01 00:05:28,1953
2000-01-01 00:05:29,1939
2000-01-01 00:05:30,1925
2000-01-01 00:05:31,1909
2000-01-01 00:05:32,1900
2000-01-01 00:05:33,1919
2000-01-01 00:05:34,1924
2000-01-01 00:05:35,1918
2000-01-01 00:05:36,1922
2000-01-01 00:05:37,1913
2000-01-01 00:05:38,1884
2000-01-01 00:05:39,1885
2000-01-01 00:05:40,1892
2000-01-01 00:05:41,1881
2000-01-01 00:05:42,1882
2000-01-01 00:05:43,1884
2000-01-01 00:05:44,1844
2000-01-01 00:05:45,1799
2000-01-01 00:05:46,1828
2000-01-01 00:05:47,1819
2000-01-01 00:05:48,1828
2000-01-01 00:05:49,1831
2000-01-01 00:05:50,1819
2000-01-01 00:05:51,1806
2000-01-01 00:05:52,1809
2000-01-01 00:05:53,1820
2000-01-01 00:05:54,1815
2000-01-01 00:05:55,1817
2000-01-01 00:05:56,1800
2000-01-01 00:05:57,1776
2000-01-01 00:05:58,1813
2000-01-01 00:05:59,1798
2000-01-01 00:06:00,1796
2000-01-01 00:06:01,1777
2000-01-01 00:06:02,1735
2000-01-01 00:06:03,1711
2000-01-01 00:06:04,1698
2000-01-01 00:06:05,1656
2000-01-01 00:06:06,1627
2000-01-01 00:06:07,1646
2000-01-01 00:06:08,1622
2000-01-01 00:06:09,1518
2000-01-01 00:06:10,1455
2000-01-01 00:06:11,1377
2000-01-01 00:06:12,1388
2000-01-01 00:06:13,1407
2000-01-01 00:06:14,1450
2000-01-01 00:06:15,1439
2000-01-01 00:06:16,1444
2000-01-01 00:06:17,1439
2000-01-01 00:06:18,1361
2000-01-01 00:06:19,1379
2000-01-01 00:06:20,1440
2000-01-01 00:06:21,1503
2000-01-01 00:06:22,1566
2000-01-01 00:06:23,1568
2000-01-01 00:06:24,1562
2000-01-01 00:06:25,1563
2000-01-01 00:06:26,1569
2000-01-01 00:06:27,1574
2000-01-01 00:06:28,1587
2000-01-01 00:06:29,1570
2000-01-01 00:06:30,1567
2000-01-01 00:06:31,1544
2000-01-01 00:06:32,1517
2000-01-01 00:06:33,1554
2000-01-01 00:06:34,1578
2000-01-01 00:06:35,1543
2000-01-01 00:06:36,1493
2000-01-01 00:06:37,1410
2000-01-01 00:06:38,1391
2000-01-01 00:06:39,1379
2000-01-01 00:06:40,1370
2000-01-01 00:06:41,1345
2000-01-01 00:06:42,1382
2000-01-01 00:06:43,1355
2000-01-01 00:06:44,1343
2000-01-01 00:06:45,1266
2000-01-01 00:06:46,1237
2000-01-01 00:06:47,1278
2000-01-01 00:06:48,1283
2000-01-01 00:06:49,1215
2000-01-01 00:06:50,1163
2000-01-01 00:06:51,1104
2000-01-01 00:06:52,1095
2000-01-01 00:06:53,1147
2000-01-01 00:06:54,1243
2000-01-01 00:06:55,1272
2000-01-01 00:06:56,1300
2000-01-01 00:06:57,1456
2000-01-01 00:06:58,1423
2000-01-01 00:06:59,1342
2000-01-01 00:07:00,1356
2000-01-01 00:07:01,1422
2000-01-01 00:07:02,1560
2000-01-01 00:07:03,1639
2000-01-01 00:07:04,1669
2000-01-01 00:07:05,1648
2000-01-01 00:07:06,1646
2000-01-01 00:07:07,1665
2000-01-01 00:07:08,1636
2000-01-01 00:07:09,1572
2000-01-01 00:07:10,1444
2000-01-01 00:07:11,1453
2000-01-01 00:07:12,1532
2000-01-01 00:07:13,1653
2000-01-01 00:07:14,1755
2000-01-01 00:07:15,1821
2000-01-01 00:07:16,1850
2000-01-01 00:07:17,1852
2000-01-01 00:07:18,1858
2000-01-01 00:07:19,1861
2000-01-01 00:07:20,1846
2000-01-01 00:07:21,1826
2000-01-01 00:07:22,1793
2000-01-01 00:07:23,1778
2000-01-01 00:07:24,1779
2000-01-01 00:07:25,1785
2000-01-01 00:07:26,1809
2000-01-01 00:07:27,1818
2000-01-01 00:07:28,1810
2000-01-01 00:07:29,1816
2000-01-01 00:07:30,1806
2000-01-01 00:07:31,1797
2000-01-01 00:07:32,1782
2000-01-01 00:07:33,1781
2000-01-01 00:07:34,1777
2000-01-01 00:07:35,1764
2000-01-01 00:07:36,1736
2000-01-01 00:07:37,1687
2000-01-01 00:07:38,1631
2000-01-01 00:07:39,1567
2000-01-01 00:07:40,1501
2000-01-01 00:07:41,1483
2000-01-01 00:07:42,1441
2000-01-01 00:07:43,1398
2000-01-01 00:07:44,1356
2000-01-01 00:07:45,1321
2000-01-01 00:07:46,1275
2000-01-01 00:07:47,1272
2000-01-01 00:07:48,1288
2000-01-01 00:07:49,1263
2000-01-01 00:07:50,1225
2000-01-01 00:07:51,1178
2000-01-01 00:07:52,1149
2000-01-01 00:07:53,1162
2000-01-01 00:07:54,1165
2000-01-01 00:07:55,1153
2000-01-01 00:07:56,1140
2000-01-01 00:07:57,1110
2000-01-01 00:07:58,1044
2000-01-01 00:07:59,1004
2000-01-01 00:08:00,985
2000-01-01 00:08:01,941
2000-01-01 00:08:02,908
2000-01-01 00:08:03,870
2000-01-01 00:08:04,858
2000-01-01 00:08:05,874
2000-01-01 00:08:06,861
2000-01-01 00:08:07,832
2000-01-01 00:08:08,796
2000-01-01 00:08:09,771
2000-01-01 00:08:10,763
2000-01-01 00:08:11,757
2000-01-01 00:08:12,732
2000-01-01 00:08:13,733
2000-01-01 00:08:14,739
2000-01-01 00:08:15,758
2000-01-01 00:08:16,748
2000-01-01 00:08:17,713
2000-01-01 00:08:18,643
2000-01-01 00:08:19,600
2000-01-01 00:08:20,582
2000-01-01 00:08:21,582
2000-01-01 00:08:22,590
2000-01-01 00:08:23,590
2000-01-01 00:08:24,620
2000-01-01 00:08:25,669
2000-01-01 00:08:26,688
2000-01-01 00:08:27,659
2000-01-01 00:08:28,606
2000-01-01 00:08:29,598
2000-01-01 00:08:30,591
2000-01-01 00:08:31,502
2000-01-01 00:08:32,450
2000-01-01 00:08:33,427
2000-01-01 00:08:34,382
2000-01-01 00:08:35,327
2000-01-01 00:08:36,303
2000-01-01 00:08:37,311
2000-01-01 00:08:38,338
2000-01-01 00:08:39,376
2000-01-01 00:08:40,391
2000-01-01 00:08:41,400
2000-01-01 00:08:42,423
2000-01-01 00:08:43,454
2000-01-01 00:08:44,482
2000-01-01 00:08:45,500
2000-01-01 00:08:46,503
2000-01-01 00:08:47,525
2000-01-01 00:08:48,547
2000-01-01 00:08:49,566
2000-01-01 00:08:50,563
2000-01-01 00:08:51,540
2000-01-01 00:08:52,528
2000-01-01 00:08:53,525
2000-01-01 00:08:54,513
2000-01-01 00:08:55,492
2000-01-01 00:08:56,465
2000-01-01 00:08:57,465
2000-01-01 00:08:58,455
2000-01-01 00:08:59,456
2000-01-01 00:09:00,440
2000-01-01 00:09:01,413
2000-01-01 00:09:02,377
2000-01-01 00:09:03,334
2000-01-01 00:09:04,311
2000-01-01 00:09:05,308
2000-01-01 00:09:06,323
2000-01-01 00:09:07,355
2000-01-01 00:09:08,378
